"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_9","Seq_9",1.5891742595373,-3.33526042299808,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_34","Seq_34",0.328162578793677,-3.2590812704463,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Seq_3","Seq_3",0.823794311414777,-3.16025749802928,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_136","Seq_136",0.221070491896974,-2.87916086001908,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_194","Seq_194",0.0680482624836653,-2.74274669297244,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_7","Seq_7",1.88604594234013,-2.73799975484789,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Galbitalea"
"Seq_19","Seq_19",0.321932387839993,-2.73404419857134,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_70","Seq_70",0.428127939291639,-2.73208056110527,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_47","Seq_47",0.797188574872713,-2.72068777015175,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_1","Seq_1",1.2725150112883,-2.7060367741527,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_146","Seq_146",0.241787010523781,-2.49147996918295,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_117","Seq_117",0.324174745952695,2.3664272688152,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter"
"Seq_5","Seq_5",1.64055810129631,-2.35611004599052,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_135","Seq_135",0.250262642652893,-2.3189299465115,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_285","Seq_285",0.0971008858032598,-2.31073549501329,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_74","Seq_74",0.308009222913977,-2.18421453190875,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_12","Seq_12",0.859796276019847,-2.17265556780953,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_73","Seq_73",0.298500313086595,2.17125994840425,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"Seq_55","Seq_55",0.077705903397244,-2.16329804380175,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_26","Seq_26",0.46462765962035,-2.12421315155349,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_27","Seq_27",0.118487164109926,-2.12232872936365,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_79","Seq_79",0.232410682271672,-2.11458961618749,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Parafrigoribacterium"
"Seq_121","Seq_121",0.090378047231245,-2.08531186053361,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera"
"Seq_60","Seq_60",0.609678182819059,-2.07324918152131,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_267","Seq_267",0.0982090601951089,-2.06084235941878,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_44","Seq_44",0.335248647592007,-2.0238933758605,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_320","Seq_320",0.0415830217475537,-2.02282698624906,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_30","Seq_30",0.1100421339311,-2.01079823897429,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Cryobacterium"
"Seq_186","Seq_186",0.0937317685270976,-1.99848166690234,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_28","Seq_28",0.120617709531154,-1.97553654637527,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"Seq_346","Seq_346",0.0466913231331209,-1.95235440592326,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_10","Seq_10",1.02217355544289,-1.94059983961216,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Seq_474","Seq_474",0.0696717756646854,1.91390364188992,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella"
"Seq_51","Seq_51",0.16711887144571,-1.91053660683579,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_277","Seq_277",0.0575620944180841,-1.86121723386095,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_22","Seq_22",0.29484220887587,-1.85896737278775,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_63","Seq_63",0.181748966396544,-1.84859381540765,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_66","Seq_66",0.217813806641991,-1.84293802633882,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_563","Seq_563",0.066673349836794,1.83951899944531,"Rare","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"Seq_209","Seq_209",0.201755919963896,1.82916223921437,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Seq_134","Seq_134",0.0455887092601615,-1.81855522566527,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_114","Seq_114",0.20421656870248,-1.81853923306347,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_40","Seq_40",0.589337078930949,-1.78824934566798,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax"
"Seq_97","Seq_97",0.116165928236024,-1.78707865496122,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_626","Seq_626",0.0611117876818064,1.76233801930206,"Proteobacteria","Gammaproteobacteria","CCD24","Unclassified","Unclassified"
"Seq_303","Seq_303",0.0262634912591533,-1.75973092389703,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Janthinobacterium"
"Seq_24","Seq_24",0.637550940981024,-1.75957278771698,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_93","Seq_93",0.310316484911374,-1.74893842968188,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_177","Seq_177",0.0385746314699749,-1.7375798800266,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_836","Seq_836",0.0438899866315343,1.71462331000106,"Rare","Anaerolineae","SBR1031","A4b","Unclassified"
"Seq_118","Seq_118",0.191733242419161,-1.70583976015859,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_242","Seq_242",0.105691543469428,-1.70189239943562,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herbaspirillum"
"Seq_395","Seq_395",0.0268645667770484,-1.69288904731589,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herminiimonas"
"Seq_461","Seq_461",0.0479674911641158,-1.66910299415984,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_581","Seq_581",0.058605840426348,1.66084734939162,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"Seq_421","Seq_421",0.0507828802778253,-1.64966702304813,"Proteobacteria","Deltaproteobacteria","Myxococcales","Blfdi19","Unclassified"
"Seq_295","Seq_295",0.160663415746992,1.62956127886015,"Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Unclassified"
"Seq_1623","Seq_1623",0.0220748856294932,-1.6282655303913,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"Seq_213","Seq_213",0.0856030883493094,-1.6276989235349,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga"
"Seq_201","Seq_201",0.0773525575734032,-1.61650273143415,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_126","Seq_126",0.130171424371142,-1.60726138855933,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_1354","Seq_1354",0.0140847564673029,-1.60252203277832,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_519","Seq_519",0.0191747434717004,-1.59552430634939,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella"
"Seq_262","Seq_262",0.0882265037942345,1.59483054507669,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"Seq_310","Seq_310",0.0435738543384295,-1.58541134102302,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_103","Seq_103",0.496619604959237,1.56442345053045,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"Seq_98","Seq_98",0.268812186487564,-1.55171121523672,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_206","Seq_206",0.0630133926543028,-1.54573755843477,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_240","Seq_240",0.067340429617395,-1.53411619392412,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Limnohabitans"
"Seq_80","Seq_80",0.332601285685549,-1.52483665978537,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Yersinia"
"Seq_16","Seq_16",0.0732578428204578,-1.52394432549673,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_585","Seq_585",0.0657144615298316,1.52192085717788,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Lysinimonas"
"Seq_411","Seq_411",0.0211998587112149,-1.52167063567295,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_480","Seq_480",0.0702901727893824,1.51895956178101,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia"
"Seq_564","Seq_564",0.0764608434759032,1.48968160758722,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"Seq_342","Seq_342",0.0919142038629144,1.4648616040235,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudoflavitalea"
"Seq_90","Seq_90",0.0460335578251326,-1.45004052696359,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Seq_551","Seq_551",0.0321232677001313,-1.44397361707802,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_904","Seq_904",0.0364207827936339,1.44374635908514,"Proteobacteria","Deltaproteobacteria","Myxococcales","Phaselicystidaceae","Phaselicystis"
"Seq_887","Seq_887",0.0381696982943537,1.44137526885738,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Unclassified"
"Seq_18","Seq_18",0.0438280587835203,-1.43002668241972,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_459","Seq_459",0.0347456964791641,-1.42734689038174,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_58","Seq_58",0.47895721352736,-1.4259396687684,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia"
"Seq_701","Seq_701",0.0507503051227527,1.42073156948889,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leifsonia"
"Seq_497","Seq_497",0.0673156365430285,1.41558913353074,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_104","Seq_104",0.178788043058459,-1.39551600660494,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_175","Seq_175",0.155459593744901,-1.39368093137848,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_39","Seq_39",0.785426485230914,-1.39104119442667,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
